empresa_locacao, modelo_carro, quilometragem, ano, preco
Movida,FIAT MOBI 1.0 FIREFLY FLEX DRIVE MANUAL,30.865,2018,R$ 35.430
Movida,FIAT MOBI 1.0 FIREFLY FLEX DRIVE MANUAL,37.395,2018,R$ 34.690
Movida,FIAT MOBI 1.0 FIREFLY FLEX DRIVE MANUAL,35.483,2018,R$ 34.690
Movida,FIAT MOBI 1.0 FIREFLY FLEX DRIVE MANUAL,44.09,2018,R$ 34.690
Movida,FIAT MOBI 1.0 FIREFLY FLEX DRIVE MANUAL,38.002,2018,R$ 34.690
Movida,FIAT MOBI 1.0 FIREFLY FLEX DRIVE MANUAL,36.445,2018,R$ 34.690
Movida,FIAT MOBI 1.0 FIREFLY FLEX DRIVE MANUAL,41.466,2018,R$ 34.690
Movida,FIAT MOBI 1.0 FIREFLY FLEX DRIVE MANUAL,37.385,2018,R$ 34.690
Movida,FIAT MOBI 1.0 FIREFLY FLEX DRIVE MANUAL,29.887,2018,R$ 35.430
Movida,FIAT MOBI 1.0 FIREFLY FLEX DRIVE MANUAL,36.601,2018,R$ 34.690
Movida,FIAT MOBI 1.0 EVO FLEX LIKE. MANUAL,34.415,2017,R$ 31.690
Movida,FIAT MOBI 1.0 FIREFLY FLEX DRIVE MANUAL,35.011,2018,R$ 34.690
Movida,RENAULT SANDERO 1.0 12V SCE FLEX EXPRESSION MANUAL,39.537,2018,R$ 35.390
Movida,RENAULT SANDERO 1.6 16V SCE FLEX EXPRESSION MANUAL,55.839,2018,R$ 40.130
Movida,RENAULT SANDERO 1.0 12V SCE FLEX EXPRESSION MANUAL,39.429,2018,R$ 35.390
Movida,RENAULT SANDERO 1.0 12V SCE FLEX EXPRESSION MANUAL,41.086,2018,R$ 35.390
Movida,RENAULT SANDERO 1.0 12V SCE FLEX EXPRESSION MANUAL,46.88,2017,R$ 33.660
Movida,RENAULT SANDERO 1.0 12V SCE FLEX EXPRESSION MANUAL,44.562,2018,R$ 35.390
Movida,RENAULT SANDERO 1.0 12V SCE FLEX EXPRESSION MANUAL,39.537,2018,R$ 35.390
Movida,RENAULT SANDERO 1.6 16V SCE FLEX EXPRESSION MANUAL,55.839,2018,R$ 40.130
Movida,RENAULT SANDERO 1.0 12V SCE FLEX EXPRESSION MANUAL,45.397,2018,R$ 35.130
Movida,RENAULT SANDERO 1.0 12V SCE FLEX EXPRESSION MANUAL,41.086,2018,R$ 35.390
Movida,RENAULT SANDERO 1.6 16V SCE FLEX EXPRESSION MANUAL,28.829,2017,R$ 40.560
Movida,RENAULT SANDERO 1.0 12V SCE FLEX EXPRESSION MANUAL,39.429,2018,R$ 35.390
Movida,RENAULT SANDERO 1.0 12V SCE FLEX EXPRESSION MANUAL,42.239,2018,R$ 35.390
Movida,RENAULT SANDERO 1.0 12V SCE FLEX EXPRESSION MANUAL,45.166,2018,R$ 35.130
Movida,RENAULT SANDERO 1.6 16V SCE FLEX EXPRESSION MANUAL,36.768,2017,R$ 39.730
Movida,RENAULT LOGAN 1.0 12V SCE FLEX EXPRESSION MANUAL,42.518,2018,R$ 38.430
Movida,RENAULT LOGAN 1.0 12V SCE FLEX EXPRESSION MANUAL,41.362,2018,R$ 38.430
Movida,RENAULT LOGAN 1.0 12V SCE FLEX EXPRESSION MANUAL,35.172,2018,R$ 38.430
Movida,RENAULT LOGAN 1.0 12V SCE FLEX EXPRESSION MANUAL,34.853,2018,R$ 39.230
Movida,RENAULT LOGAN 1.6 16V SCE FLEX EXPRESSION MANUAL,27.779,2017,R$ 40.130
Movida,RENAULT LOGAN 1.0 12V SCE FLEX EXPRESSION MANUAL,38.246,2018,R$ 38.430
Movida,RENAULT LOGAN 1.0 12V SCE FLEX EXPRESSION MANUAL,40.371,2018,R$ 38.430
Movida,RENAULT LOGAN 1.0 12V SCE FLEX EXPRESSION MANUAL,44.253,2018,R$ 38.430
Movida,RENAULT LOGAN 1.6 EXPRESSION 8V FLEX 4P MANUAL,102.053,2016,R$ 34.690
Movida,RENAULT LOGAN 1.0 12V SCE FLEX EXPRESSION MANUAL,49.197,2018,R$ 38.130
Movida,RENAULT LOGAN 1.6 16V SCE FLEX EXPRESSION MANUAL,41.526,2018,R$ 41.430
Movida,RENAULT LOGAN 1.0 AUTHENTIQUE 16V FLEX 4P MANUAL,36.561,2016,R$ 32.230
Movida,RENAULT LOGAN 1.0 12V SCE FLEX EXPRESSION MANUAL,45.942,2018,R$ 38.430
Movida,RENAULT LOGAN 1.0 12V SCE FLEX AUTHENTIQUE MANUAL,48.293,2018,R$ 35.860
Movida,RENAULT LOGAN 1.0 AUTHENTIQUE 16V FLEX 4P MANUAL,36.561,2016,R$ 32.230
Movida,RENAULT LOGAN 1.0 12V SCE FLEX EXPRESSION MANUAL,42.518,2018,R$ 38.430
Movida,RENAULT LOGAN 1.0 12V SCE FLEX EXPRESSION MANUAL,41.362,2018,R$ 38.430
Movida,VOLKSWAGEN GOL 1.6 MSI TOTALFLEX TRENDLINE 4P MANUAL,39.789,2018,R$ 38.330
Movida,VOLKSWAGEN GOL 1.6 MSI TOTALFLEX TRENDLINE 4P MANUAL,73.155,2017,R$ 34.630
Movida,VOLKSWAGEN GOL 1.6 MSI TOTALFLEX TRENDLINE 4P MANUAL,37.309,2018,R$ 38.330
Movida,VOLKSWAGEN GOL 1.6 MSI TOTALFLEX TRENDLINE 4P MANUAL,41.339,2018,R$ 38.330
Movida,VOLKSWAGEN GOL 1.6 MSI TOTALFLEX TRENDLINE 4P MANUAL,44.54,2018,R$ 38.330
Movida,VOLKSWAGEN GOL 1.6 MSI TOTALFLEX TRENDLINE 4P MANUAL,40.259,2018,R$ 38.330
Movida,VOLKSWAGEN GOL 1.6 MSI TOTALFLEX TRENDLINE 4P MANUAL,17.769,2018,R$ 39.930
Movida,RENAULT DUSTER 1.6 16V SCE FLEX EXPRESSION MANUAL,55.024,2018,R$ 55.290
Movida,RENAULT DUSTER 2.0 DYNAMIQUE 4X2 16V FLEX 4P AUTOMATICO,46.861,2017,R$ 61.130
Movida,RENAULT DUSTER 1.6 16V SCE FLEX EXPRESSION MANUAL,59.972,2018,R$ 55.290
Movida,RENAULT DUSTER 1.6 16V SCE FLEX EXPRESSION MANUAL,50.845,2018,R$ 55.290
Movida,RENAULT DUSTER 1.6 16V SCE FLEX EXPRESSION MANUAL,60.355,2017,R$ 50.890
Movida,HYUNDAI HB20 1.6 COMFORT PLUS 16V FLEX 4P MANUAL,50.825,2018,R$ 44.990
Movida,HYUNDAI HB20 1.6 COMFORT PLUS 16V FLEX 4P MANUAL,38.561,2018,R$ 45.460
Movida,HYUNDAI HB20 1.6 COMFORT PLUS 16V FLEX 4P MANUAL,32.372,2018,R$ 46.430
Movida,HYUNDAI HB20 1.0 COMFORT PLUS 12V FLEX 4P MANUAL,61.094,2016,R$ 34.790
Movida,HYUNDAI HB20 1.0 COMFORT PLUS 12V FLEX 4P MANUAL,40.177,2018,R$ 40.330
Movida,VOLKSWAGEN VOYAGE 1.6 MSI TOTALFLEX TRENDLINE 4P MANUAL,30.918,2018,R$ 41.130
Movida,VOLKSWAGEN VOYAGE 1.6 MSI TOTALFLEX TRENDLINE 4P MANUAL,30.314,2018,R$ 41.130
Movida,VOLKSWAGEN VOYAGE 1.6 MSI TOTALFLEX TRENDLINE 4P MANUAL,41.439,2018,R$ 40.190
Movida,VOLKSWAGEN VOYAGE 1.6 MSI TOTALFLEX TRENDLINE 4P MANUAL,30.314,2018,R$ 41.130
Movida,HYUNDAI HB20S 1.6 COMFORT PLUS 16V FLEX 4P AUTOMATICO,36.888,2018,R$ 54.530
